director,quote,score,title
导演: 米洛斯·福尔曼 Miloš Forman,自由万岁。,9.1,飞越疯人院
导演: 彼得·杰克逊 Peter Jackson,承前启后的史诗篇章。,9.0,指环王2：双塔奇兵
导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,优雅的孤独。,9.2,教父2
导演: Roger Allers / 罗伯·明可夫 Rob Minkoff,动物版《哈姆雷特》。,9.0,狮子王
导演: 彼得·杰克逊 Peter Jackson,传说的开始。,9.0,指环王1：魔戒再现
导演: 詹姆斯·麦克特格 James McTeigue,一张面具背后的理想与革命。,8.9,V字仇杀队
导演: 朗·霍华德 Ron Howard,爱是一切逻辑和原由。,9.0,美丽心灵
导演: 李安 Ang Lee,人生不能像做菜，把所有的料都准备好了才下锅。,9.1,饮食男女
导演: 路易·西霍尤斯 Louie Psihoyos,海豚的微笑，是世界上最高明的伪装。,9.3,海豚湾
导演: 娜丁·拉巴基 Nadine Labaki,凝视卑弱生命，用电影改变命运。,9.1,何以为家
导演: 岩井俊二 Shunji Iwai,暗恋的极致。,8.9,情书
导演: 罗曼·波兰斯基 Roman Polanski,音乐能化解仇恨。,9.1,钢琴家
导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang,经典之作，历久弥新。,9.3,大闹天宫
导演: Chris Columbus,童话世界的开端。,8.9,哈利·波特与魔法石
导演: 大卫·芬奇 David Fincher,在时间之河里感受溺水之苦。,8.9,本杰明·巴顿奇事
导演: 奥里奥尔·保罗 Oriol Paulo,你以为你以为的就是你以为的。,8.8,看不见的客人
导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,视觉革命。,8.9,黑客帝国
导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,美丽无罪。,8.8,西西里的美丽传说
导演: 马基德·马基迪 Majid Majidi,奔跑的孩子是天使。,9.2,小鞋子
导演: 赛尔乔·莱翁内 Sergio Leone,往事如烟，无处祭奠。,9.2,美国往事
导演: 姜文 Wen Jiang,你给我翻译翻译，神马叫做TMD的惊喜。,8.8,让子弹飞
导演: 史蒂文·斯皮尔伯格 Steven Spielberg,美利坚精神输出大片No1.,9.0,拯救大兵瑞恩
导演: 罗伯特·怀斯 Robert Wise,用音乐化解仇恨，让歌声串起美好。,9.0,音乐之声
导演: 史蒂文·斯皮尔伯格 Steven Spielberg,骗子大师和执著警探的你追我跑故事。 ,8.9,猫鼠游戏
导演: 克里斯托弗·诺兰 Christopher Nolan,孪生蝙蝠侠大战克隆金刚狼。,8.8,致命魔术
导演: 大卫·芬奇 David Fincher,警察抓小偷，老鼠玩死猫。,8.8,七宗罪
导演: 中岛哲也 Tetsuya Nakashima,以戏谑来戏谑戏谑。,8.9,被嫌弃的松子的一生
导演: 昆汀·塔伦蒂诺 Quentin Tarantino,故事的高级讲法。,8.8,低俗小说
导演: 乔纳森·戴米 Jonathan Demme,安东尼·霍普金斯的顶级表演。,8.8,沉默的羔羊
导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,人的命运被自己瞬间的抉择改变。,8.8,蝴蝶效应
导演: 王家卫 Kar Wai Wong,爱情纠缠，男女一致。,8.9,春光乍泄
导演: 马克·赫尔曼 Mark Herman,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,9.0,穿条纹睡衣的男孩
导演: 梅尔·吉布森 Mel Gibson,史诗大片的典范。,8.9,勇敢的心
导演: 让-皮埃尔·热内 Jean-Pierre Jeunet,法式小清新。 ,8.7,天使爱美丽
导演: 蒂姆·波顿 Tim Burton,浪漫忧郁的成人童话。,8.7,剪刀手爱德华
导演: 格斯·范·桑特 Gus Van Sant,人生中应该拥有这样的一段豁然开朗。,8.8,心灵捕手
导演: Martin Scorsese,昔日翩翩少年，今日大腹便便。,8.8,禁闭岛
导演: 韦斯·安德森 Wes Anderson,小清新的故事里注入了大历史的情怀。,8.8,布达佩斯大饭店
导演: 詹姆斯·卡梅隆 James Cameron,绝对意义上的美轮美奂。,8.7,阿凡达
导演: 泷田洋二郎 Yôjirô Takita,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,8.8,入殓师
导演: 宫崎骏 Hayao Miyazaki,人与自然的战争史诗。,8.9,幽灵公主
导演: 戈尔·维宾斯基 Gore Verbinski,约翰尼·德普的独角戏。,8.7,加勒比海盗
导演: 查理·卓别林 Charles Chaplin,大时代中的人生，小人物的悲喜。,9.3,摩登时代
导演: James Mangold,最不可能的那个人永远是最可能的。,8.7,致命ID
导演: 李安 Ang Lee,每个人心中都有一座断背山。,8.7,断背山
