adWord,appShow,approve,businessZones,city,companyFullName,companyId,companyLabelList,companyLogo,companyShortName,companySize,createTime,deliver,district,education,explain,financeStage,firstType,formatCreateTime,gradeDescription,hitags,imState,industryField,industryLables,isHotHire,isSchoolJob,jobNature,lastLogin,latitude,linestaion,longitude,pcShow,plus,positionAdvantage,positionId,positionLables,positionName,promotionScoreExplain,publisherId,resumeProcessDay,resumeProcessRate,salary,score,secondType,skillLables,stationname,subwayline,thirdType,workYear
9,0,1,['新洲'],深圳,深圳特为科创信息技术有限公司,247335,[],i/image2/M01/5D/E7/CgoB5l0lsmGAKCIcAAgB1XMbMnQ606.png,特为科创,150-500人,2019-08-14 08:45:05,0,福田区,大专,,未融资,开发|测试|运维类,08:45发布,,,today,"移动互联网,人工智能",[],0,0,全职,1565762144000,22.535702,1号线/罗宝线_岗厦;1号线/罗宝线_会展中心;1号线/罗宝线_购物公园;2号线/蛇口线_莲花西;2号线/蛇口线_福田;2号线/蛇口线_市民中心;3号线/龙岗线_石厦;3号线/龙岗线_购物公园;3号线/龙岗线_福田;4号线/龙华线_会展中心;4号线/龙华线_市民中心;7号线_石厦;11号线/机场线_福田,114.053855,0,,五险一金、双休、旅游团建、节日福利,6266394,['J2EE'],java开发,,14788550,1,66,11k-19k,0,后端开发,['J2EE'],岗厦,2号线/蛇口线,Java,3-5年
0,0,1,['临平'],杭州,淘宝（中国）软件有限公司,285786,"['年底双薪', '带薪年假', '午餐补助', '弹性工作']",i/image2/M00/23/9F/CgoB5loXlLOAfG9lAAAgx-cjoj0954.jpg,阿里巴巴-新零售技术事业群,2000人以上,2019-08-13 17:51:31,0,余杭区,本科,,上市公司,开发|测试|运维类,1天前发布,,,today,电商,"['电商', '新零售', '后端', '服务器端', '分布式', 'Java']",0,0,全职,1565762543000,30.419045,,120.299402,0,,挑战,6280895,"['电商', '新零售', '后端', '服务器端', '分布式', 'Java']",java开发工程师,,3163486,0,0,20k-40k,0,后端开发,"['后端', '服务器端', '分布式', 'Java']",,,Java,不限
0,0,1,,北京,贝壳找房（北京）科技有限公司,55446,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",i/image2/M01/AC/F7/CgotOVvycNiAAe8OAABhrmY_47k309.png,贝壳,2000人以上,2019-08-14 08:57:55,0,海淀区,本科,,D轮及以上,开发|测试|运维类,08:57发布,,"['免费班车', '免费健身房', '免费下午茶', '一年调薪1次', '一年调薪2次', '15薪', '弹性工作', '地铁周边', '定期团建', '工作居住证', '超长年假', '6险2金']",today,房产家居,"['教育', '后端']",0,0,全职,1565746566000,40.04018,13号线_上地;13号线_西二旗;昌平线_西二旗,116.305611,0,,"16薪,大平台",6040879,"['教育', '后端']",Java工程师-花桥学院,,11143900,1,100,30k-50k,0,后端开发,['后端'],西二旗,昌平线,Java,5-10年
0,0,1,"['建国门', '北京站', '东单']",北京,北京捷越联合信息咨询有限公司,3450,"['技能培训', '节日礼物', '岗位晋升', '扁平管理']",image1/M00/00/09/CgYXBlTUWBKAOr5hAACxUg3QoJc703.png,北京捷越联合,2000人以上,2019-08-13 17:06:24,0,东城区,本科,,不需要融资,开发|测试|运维类,1天前发布,,,today,金融,[],0,0,全职,1565747179000,39.907201,1号线_东单;1号线_建国门;2号线_建国门;2号线_北京站;2号线_崇文门;5号线_崇文门;5号线_东单,116.429885,0,,六险一金 弹性打卡 零食水果,6280484,"['后端', '中间件', '分布式']",java工程师,,10311390,1,100,15k-22k,0,后端开发,"['后端', '中间件', '分布式']",东单,2号线,Java,3-5年
0,0,1,['唐镇'],上海,深圳市博悦科创科技有限公司,117217,"['年底双薪', '定期体检', '绩效奖金', '技能培训']",i/image/M00/10/8F/CgqKkVbf8TKACeAMAAAop3DnaW4486.png,博悦科创,500-2000人,2019-08-14 13:44:35,0,浦东新区,大专,,不需要融资,开发|测试|运维类,13:44发布,,,today,移动互联网,[],0,0,全职,1565743780000,31.240744,,121.677756,0,,"技术新,晋升快,福利待遇好,发展空间大",6276078,['Java'],急聘JAVA开发,,9637977,1,96,10k-16k,0,后端开发,['Java'],,,Java,3-5年
0,0,1,"['棠景', '白云大道', '新市']",广州,广州纳诺科技股份有限公司,737706,[],i/image2/M01/61/54/CgoB5l0sKYGAA0ojABXSd30NW1Q094.jpg,广州纳诺,150-500人,2019-08-14 13:46:31,0,白云区,大专,,未融资,开发|测试|运维类,13:46发布,,,today,通讯电子,[],0,0,全职,1565753048000,23.173983,2号线_飞翔公园;2号线_白云公园,113.261262,0,,不加班；六险一金；年终奖；年度体检,6271136,"['分布式', 'MySQL']",java开发工程师,,14545437,1,73,12k-22k,0,后端开发,"['分布式', 'MySQL']",飞翔公园,2号线,Java,5-10年
0,0,1,"['人民南', '东门', '国贸']",深圳,深圳市汇合发展有限公司,296391,"['绩效奖金', '带薪年假', '管理规范', '五险一金']",i/image2/M01/C5/91/CgotOVwy-z6AOhE2AAAXjgvMqg8020.png,汇合,2000人以上,2019-08-14 08:34:20,0,罗湖区,本科,,不需要融资,开发|测试|运维类,08:34发布,,,today,"企业服务,金融",['银行'],0,0,全职,1565742744000,22.542001,1号线/罗宝线_国贸;1号线/罗宝线_老街;1号线/罗宝线_大剧院;1号线/罗宝线_大剧院;2号线/蛇口线_大剧院;2号线/蛇口线_湖贝;3号线/龙岗线_红岭;3号线/龙岗线_老街;3号线/龙岗线_晒布;9号线_红岭;9号线_红岭南;9号线_鹿丹村;9号线_人民南;9号线_向西村,114.114366,0,,银行系统 技术大牛团队 项目稳定,6271017,['银行'],Java,,5170589,1,100,11k-16k,0,后端开发,['Java'],国贸,2号线/蛇口线,Java,3-5年
0,0,1,['望京'],北京,上海大岂网络科技有限公司,154561,"['带薪年假', '定期体检', '年终分红', '节日礼物']",images/logo_default.png,MoSeeker仟寻,150-500人,2019-08-14 12:11:02,0,朝阳区,本科,,B轮,开发|测试|运维类,12:11发布,,,today,移动互联网,[],0,0,全职,1565757253000,40.002206,14号线东段_东湖渠;14号线东段_望京;14号线东段_阜通;15号线_望京东;15号线_望京,116.47282,0,,"超长年假,培训多,发展空间大",6280927,['Java'],Java工程师,,8734468,1,100,15k-22k,0,后端开发,['Java'],东湖渠,15号线,Java,3-5年
0,0,1,,成都,北京联龙博通电子商务技术有限公司,17785,"['节日礼物', '技能培训', '带薪年假', '绩效奖金']",image1/M00/1E/06/CgYXBlUs4zKABvsqAACmSrJc6MQ571.jpg,联龙博通,2000人以上,2019-08-14 09:16:12,0,高新区,不限,,D轮及以上,开发|测试|运维类,09:16发布,,,today,"移动互联网,电商",[],0,0,全职,1565762015000,30.543036,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,104.057612,0,,周末双休 五险一金 餐补 加班费 年终奖,6270979,"['Javascript', 'Java']",java开发工程师,,14173057,1,27,10k-20k,0,后端开发,"['Javascript', 'Java']",天府五街,1号线(五根松),Java,3-5年
0,0,1,,广州,广州太平洋电脑信息咨询有限公司,992,"['年底双薪', '绩效奖金', '五险一金', '带薪年假']",image1/M00/00/05/CgYXBlTUWACAEirfAABRQiJOrU4446.jpg,太平洋网络有限公司,500-2000人,2019-08-14 08:23:38,0,天河区,本科,,上市公司,开发|测试|运维类,08:23发布,,,today,"电商,消费生活",[],0,0,全职,1565743784000,23.175551,,113.415343,0,,上市公司 年终奖金 年底双薪 五险一金,6275790,['J2EE'],java开发工程师,,9536794,1,100,8k-11k,0,后端开发,['J2EE'],,,Java,1-3年
