,num,title,init_year,area,genre,rating_num,comment_num,language,director,cast,movie_duration,tags
10,11,海上钢琴师,1998,意大利,剧情 音乐,9.2,635805,"英语', '法语",朱塞佩·托纳多雷 Giuseppe Tornatore,"蒂姆·罗斯 Tim Roth', '普路特·泰勒·文斯 Pruitt Taylor Vince', '比尔·努恩 Bill Nunn', '梅兰尼·蒂埃里 Mélanie Thierry', '阿尔贝托·巴斯克斯 Alberto Vazquez",165,"[{'count': 101996, 'name': '经典'}, {'count': 88067, 'name': '海上钢琴师'}, {'count': 83780, 'name': '音乐'}, {'count': 78107, 'name': '人生'}, {'count': 55393, 'name': '意大利'}, {'count': 50062, 'name': '钢琴'}, {'count': 37052, 'name': '剧情'}, {'count': 27237, 'name': '意大利电影'}]"
11,12,三傻大闹宝莱坞,2009,印度,剧情 喜剧 爱情 歌舞,9.2,732146,"印地语', '乌尔都语', '英语",拉库马·希拉尼 Rajkumar Hirani,"阿米尔·汗 Aamir Khan', '卡琳娜·卡普 Kareena Kapoor', '德瓦汉 Madhavan', '沙尔曼·乔什 Sharman Joshi', '奥米·瓦依达 Omi Vaidya', '波曼·伊拉妮 Boman Irani', '莫娜·辛格 Mona Singh', 'Rajeev Ravindranathan",171,"[{'count': 153046, 'name': '励志'}, {'count': 149630, 'name': '印度'}, {'count': 129329, 'name': '喜剧'}, {'count': 72290, 'name': '人生'}, {'count': 69291, 'name': '搞笑'}, {'count': 61739, 'name': '宝莱坞'}, {'count': 60229, 'name': '经典'}, {'count': 28797, 'name': '剧情'}]"
12,13,忠犬八公的故事,2009,美国 英国,剧情,9.2,501731,"英语', '日语",莱塞·霍尔斯道姆 Lasse Hallström,"理查·基尔 Richard Gere', '萨拉·罗默尔 Sarah Roemer', '琼·艾伦 Joan Allen', 'Robbie Sublett', '艾瑞克·阿瓦利 Erick Avari', '田川洋行 Cary-Hiroyuki Tagawa', '杰森·亚历山大 Jason Alexander', '罗伯特·卡普荣 Robert Capron",93,"[{'count': 93132, 'name': '感人'}, {'count': 92701, 'name': '温情'}, {'count': 80775, 'name': '动物'}, {'count': 48823, 'name': '真实事件改编'}, {'count': 44262, 'name': '美国'}, {'count': 40489, 'name': '温暖'}, {'count': 35324, 'name': '人性'}, {'count': 22908, 'name': '剧情'}]"
13,14,放牛班的春天,2004,法国 瑞士 德国,剧情 音乐,9.2,490569,法语,克里斯托夫·巴拉蒂 Christophe Barratier,"杰拉尔·朱诺 Gérard Jugnot', '让-巴蒂斯特·莫尼耶 Jean-Baptiste Maunier', '弗朗索瓦·贝利昂 François Berléand', '凯德·麦拉德 Kad Merad', '玛丽·布奈尔 Marie Bunel', '马科森斯·珀林 Maxence Perrin', 'Jean-Paul Bonnaire', 'Grégory Gatignol', 'Thomas Blumenthal', 'Cyril Bernicot', 'Simon Fargeot', 'Théodule Carré-Cassaigne', 'Philippe du Janerand', '卡罗尔·韦斯 Carole Weiss', 'Erick Desmarestz",97,"[{'count': 80455, 'name': '法国'}, {'count': 76433, 'name': '音乐'}, {'count': 69322, 'name': '成长'}, {'count': 53094, 'name': '经典'}, {'count': 51954, 'name': '教育'}, {'count': 24237, 'name': '剧情'}, {'count': 19539, 'name': '温情'}, {'count': 12684, 'name': '励志'}]"
14,15,大话西游之大圣娶亲,1995,香港 中国大陆,喜剧 爱情 奇幻 冒险,9.2,533859,"粤语', '汉语普通话",刘镇伟 Jeffrey Lau,"周星驰 Stephen Chow', '吴孟达 Man Tat Ng', '朱茵 Athena Chu', '蔡少芬 Ada Choi', '蓝洁瑛 Kit Ying Lam', '莫文蔚 Karen Mok', '罗家英 Kar-Ying Law', '刘镇伟 Jeffrey Lau', '陆树铭 Shuming Lu', '李健仁 Kin-Yan Lee",95,"[{'count': 87295, 'name': '经典'}, {'count': 69371, 'name': '喜剧'}, {'count': 65608, 'name': '爱情'}, {'count': 56439, 'name': '香港'}, {'count': 29379, 'name': '搞笑'}, {'count': 17276, 'name': '中国'}, {'count': 13512, 'name': '感人'}, {'count': 12492, 'name': '1995'}]"
15,16,教父,1972,美国,剧情 犯罪,9.2,370048,"英语', '意大利语', '拉丁语",弗朗西斯·福特·科波拉 Francis Ford Coppola,"马龙·白兰度 Marlon Brando', '阿尔·帕西诺 Al Pacino', '詹姆斯·肯恩 James Caan', '理查德·卡斯特尔诺 Richard S. Castellano', '罗伯特·杜瓦尔 Robert Duvall', '斯特林·海登 Sterling Hayden', '约翰·马利 John Marley', '理查德·康特 Richard Conte', '艾尔·勒提埃里 Al Lettieri', '黛安·基顿 Diane Keaton', '阿贝·维高达 Abe Vigoda', '塔莉娅·夏尔 Talia Shire', '吉亚尼·罗素 Gianni Russo', '约翰·凯泽尔 John Cazale', '鲁迪·邦德 Rudy Bond",175,"[{'count': 69769, 'name': '黑帮'}, {'count': 68600, 'name': '经典'}, {'count': 43268, 'name': '美国'}, {'count': 32732, 'name': '犯罪'}, {'count': 24405, 'name': '剧情'}, {'count': 16820, 'name': '黑社会'}, {'count': 9551, 'name': '人性'}, {'count': 7637, 'name': '人生'}]"
16,17,龙猫,1988,日本,儿童 动画 奇幻 家庭,9.1,452911,日语,宫崎骏 Hayao Miyazaki,"日高法子 Noriko Hidaka', '坂本千夏 Chika Sakamoto', '糸井重里 Shigesato Itoi', '岛本须美 Sumi Shimamoto', '北林谷荣 Tanie Kitabayashi', '高木均 Hitoshi Takagi', '雨笠利幸 Toshiyuki Amagasa', '丸山裕子 Yûko Maruyama', '广濑正志 Masashi Hirose', '鹫尾真知子 Machiko Washio', '铃木玲子 Reiko Suzuki', '千叶繁 Shigeru Chiba', '龙田直树 Naoki Tatsuta', '鳕子 Tarako', '西村朋纮 Tomohiro Nishimura', '石田光子 Mitsuko Ishida', '神代知衣 Chie Kôjiro', '中村大树 Daiki Nakamura', '水谷优子 Yûko Mizutani', '平松晶子 Akiko Hiramatsu', '大谷育江 Ikue Ootani",86,"[{'count': 69039, 'name': '日本'}, {'count': 47820, 'name': '动漫'}, {'count': 40184, 'name': '温情'}, {'count': 37003, 'name': '童年'}, {'count': 29755, 'name': '经典'}, {'count': 22609, 'name': '成长'}, {'count': 21915, 'name': '童话'}, {'count': 16206, 'name': '感人'}]"
17,18,楚门的世界,1998,美国,剧情 科幻,9.1,502103,英语,彼得·威尔 Peter Weir,"金·凯瑞 Jim Carrey', '劳拉·琳妮 Laura Linney', '艾德·哈里斯 Ed Harris', '诺亚·艾默里奇 Noah Emmerich', '娜塔莎· 麦克艾霍恩 Natascha McElhone",103,"[{'count': 70724, 'name': '人性'}, {'count': 56195, 'name': '经典'}, {'count': 52845, 'name': '美国'}, {'count': 44154, 'name': '楚门的世界'}, {'count': 40350, 'name': 'JimCarrey'}, {'count': 37654, 'name': '剧情'}, {'count': 24211, 'name': '美国电影'}, {'count': 22004, 'name': '喜剧'}]"
18,19,乱世佳人,1939,美国,剧情 历史 爱情 战争,9.2,289127,英语,"维克多·弗莱明 Victor Fleming', '乔治·库克 George Cukor', '山姆·伍德 Sam Wood","托马斯·米切尔 Thomas Mitchell', ""芭芭拉·欧内尔 Barbara O'Neil"", '费雯·丽 Vivien Leigh', '伊夫林·凯耶斯 Evelyn Keyes', '安·卢瑟福德 Ann Rutherford', '乔治·里弗斯 George Reeves', '弗莱德·克莱恩 Fred Crane', '海蒂·麦克丹尼尔斯 Hattie McDaniel', '奥斯卡·波尔克 Oscar Polk', '巴特弗莱·麦昆 Butterfly McQueen', '维克托·乔里 Victor Jory', '埃弗雷特·布朗 Everett Brown', '霍华德·C·希克曼 Howard C. Hickman', '艾丽西亚·瑞特 Alicia Rhett', '莱斯利·霍华德 Leslie Howard', '奥利维娅·德·哈维兰 Olivia de Havilland', '兰德·布鲁克斯 Rand Brooks', '卡洛尔·奈 Carroll Nye', '克拉克·盖博 Clark Gable', '劳拉·霍普·克鲁斯 Laura Hope Crews', ""埃迪·安德森 Eddie 'Rochester' Anderson"", '哈里·达文波特 Harry Davenport', '利昂娜·罗伯特 Leona Roberts', '简·达威尔 Jane Darwell', '欧娜·满森 Ona Munson', '保罗·赫斯特 Paul Hurst', '伊莎贝尔·朱尔 Isabel Jewell', '卡米·金·肯伦 Cammie King Conlon', '艾瑞克·林登 Eric Linden', 'J·M·克里根 J.M. Kerrigan', '沃德·邦德 Ward Bond', '莉莲·肯布尔-库珀 Lillian Kemble-Cooper",238,"[{'count': 62680, 'name': '经典'}, {'count': 56207, 'name': '爱情'}, {'count': 35937, 'name': '乱世佳人'}, {'count': 30275, 'name': '美国'}, {'count': 27233, 'name': '飘'}, {'count': 26594, 'name': '战争'}, {'count': 5937, 'name': '名著改编'}, {'count': 4243, 'name': '人生'}]"
19,20,熔炉,2011,韩国,剧情,9.2,291365,韩语,黄东赫 Dong-hyuk Hwang,"孔侑 Yoo Gong', '郑有美 Yu-mi Jeong', '金智英 Ji-Young Kim', '金贤秀 Hyun-su Kim', '郑仁絮 In-seo Jeong', '白承焕 Seung-Hwan Baek', '张光 Gwang Jang', '严孝燮 Uhm Hyo Sup",125,"[{'count': 58104, 'name': '人性'}, {'count': 56424, 'name': '韩国'}, {'count': 41258, 'name': '犯罪'}, {'count': 33970, 'name': '社会'}, {'count': 20215, 'name': '剧情'}, {'count': 17238, 'name': '熔炉'}, {'count': 14342, 'name': '虐心'}, {'count': 12858, 'name': '感人'}]"
